race_id,bet_type,combo,odds,fetched_at
022026062907,3t,2-4-6,332.2,2026-06-29 08:44:09
022026062907,3t,2-5-1,110.7,2026-06-29 08:44:09
022026062907,3t,2-5-3,332.2,2026-06-29 08:44:09
022026062907,3t,2-5-4,332.2,2026-06-29 08:44:09
022026062907,3t,2-5-6,110.7,2026-06-29 08:44:09
022026062907,3t,2-6-1,332.2,2026-06-29 08:44:09
022026062907,3t,2-6-3,30.2,2026-06-29 08:44:09
022026062907,3t,2-6-4,0.0,2026-06-29 08:44:09
022026062907,3t,2-6-5,332.2,2026-06-29 08:44:09
022026062907,3t,3-1-2,36.9,2026-06-29 08:44:09
022026062907,3t,3-1-4,83.0,2026-06-29 08:44:09
022026062907,3t,3-1-5,41.5,2026-06-29 08:44:09
022026062907,3t,3-1-6,110.7,2026-06-29 08:44:09
022026062907,3t,3-2-1,47.4,2026-06-29 08:44:09
022026062907,3t,3-2-4,110.7,2026-06-29 08:44:09
022026062907,3t,3-2-5,66.4,2026-06-29 08:44:09
022026062907,3t,3-2-6,83.0,2026-06-29 08:44:09
022026062907,3t,3-4-1,66.4,2026-06-29 08:44:09
022026062907,3t,3-4-2,110.7,2026-06-29 08:44:09
022026062907,3t,3-4-5,110.7,2026-06-29 08:44:09
022026062907,3t,3-4-6,83.0,2026-06-29 08:44:09
022026062907,3t,3-5-1,30.2,2026-06-29 08:44:09
022026062907,3t,3-5-2,83.0,2026-06-29 08:44:09
022026062907,3t,3-5-4,110.7,2026-06-29 08:44:09
022026062907,3t,3-5-6,166.1,2026-06-29 08:44:09
022026062907,3t,3-6-1,110.7,2026-06-29 08:44:09
022026062907,3t,3-6-2,166.1,2026-06-29 08:44:09
022026062907,3t,3-6-4,83.0,2026-06-29 08:44:09
022026062907,3t,3-6-5,332.2,2026-06-29 08:44:09
022026062907,3t,4-1-2,55.3,2026-06-29 08:44:09
022026062907,3t,4-1-3,110.7,2026-06-29 08:44:09
022026062907,3t,4-1-5,166.1,2026-06-29 08:44:09
022026062907,3t,4-1-6,47.4,2026-06-29 08:44:09
022026062907,3t,4-2-1,110.7,2026-06-29 08:44:09
022026062907,3t,4-2-3,166.1,2026-06-29 08:44:09
022026062907,3t,4-2-5,23.7,2026-06-29 08:44:09
022026062907,3t,4-2-6,110.7,2026-06-29 08:44:09
022026062907,3t,4-3-1,55.3,2026-06-29 08:44:09
022026062907,3t,4-3-2,166.1,2026-06-29 08:44:09
022026062907,3t,4-3-5,332.2,2026-06-29 08:44:09
022026062907,3t,4-3-6,83.0,2026-06-29 08:44:09
022026062907,3t,4-5-1,166.1,2026-06-29 08:44:09
022026062907,3t,4-5-2,0.0,2026-06-29 08:44:09
022026062907,3t,4-5-3,0.0,2026-06-29 08:44:09
022026062907,3t,4-5-6,0.0,2026-06-29 08:44:09
022026062907,3t,4-6-1,41.5,2026-06-29 08:44:09
022026062907,3t,4-6-2,83.0,2026-06-29 08:44:09
022026062907,3t,4-6-3,332.2,2026-06-29 08:44:09
022026062907,3t,4-6-5,332.2,2026-06-29 08:44:09
022026062907,3t,5-1-2,332.2,2026-06-29 08:44:09
022026062907,3t,5-1-3,55.3,2026-06-29 08:44:09
022026062907,3t,5-1-4,332.2,2026-06-29 08:44:09
022026062907,3t,5-1-6,83.0,2026-06-29 08:44:09
022026062907,3t,5-2-1,166.1,2026-06-29 08:44:09
022026062907,3t,5-2-3,0.0,2026-06-29 08:44:09
022026062907,3t,5-2-4,332.2,2026-06-29 08:44:09
022026062907,3t,5-2-6,83.0,2026-06-29 08:44:09
022026062907,3t,5-3-1,0.0,2026-06-29 08:44:09
022026062907,3t,5-3-2,0.0,2026-06-29 08:44:09
022026062907,3t,5-3-4,0.0,2026-06-29 08:44:09
022026062907,3t,5-3-6,0.0,2026-06-29 08:44:09
022026062907,3t,5-4-1,332.2,2026-06-29 08:44:09
022026062907,3t,5-4-2,0.0,2026-06-29 08:44:09
022026062907,3t,5-4-3,0.0,2026-06-29 08:44:09
022026062907,3t,5-4-6,332.2,2026-06-29 08:44:09
022026062907,3t,5-6-1,110.7,2026-06-29 08:44:09
022026062907,3t,5-6-2,66.4,2026-06-29 08:44:09
022026062907,3t,5-6-3,0.0,2026-06-29 08:44:09
022026062907,3t,5-6-4,332.2,2026-06-29 08:44:09
022026062907,3t,6-1-2,110.7,2026-06-29 08:44:09
022026062907,3t,6-1-3,110.7,2026-06-29 08:44:09
022026062907,3t,6-1-4,66.4,2026-06-29 08:44:09
022026062907,3t,6-1-5,83.0,2026-06-29 08:44:09
022026062907,3t,6-2-1,332.2,2026-06-29 08:44:09
022026062907,3t,6-2-3,332.2,2026-06-29 08:44:09
